Table	Namespace		Field	Namespace	Key	Type	Calculated	Default Value	Related Table	Related Namespace	Corresponding Field	Corresponding Namespace	Record Deleted	Record Table	Record Field
Exemplar_MissingInputNote	AppsTest		Exemplar	AppsTest	N	Reference	Input		Exemplar	AppsTest	MissingInputNote	AppsTest	Delete record	Y	Y
Exemplar_MissingInputNote	AppsTest		Timestamp	AppsTest	N	DateTime	Input						Delete record	Y	Y
Exemplar_MissingInputNote	AppsTest		UserId	AppsTest	N	String	Input						Delete record	Y	Y
Exemplar_MissingInputNote	AppsTest		Value	AppsTest	N	String	Input						Delete record	Y	Y
Licensed	AppsTest		KeyBoolean	AppsTest	Y	Enum	Input	'N'	Bool	System			Delete record	N	?
Licensed	AppsTest		KeyDate	AppsTest	Y	Date	Input						Delete record	N	?
Licensed	AppsTest		KeyDateTime	AppsTest	Y	DateTime	Input						Delete record	N	?
Licensed	AppsTest		KeyInteger	AppsTest	Y	Integer	Input						Delete record	N	?
Licensed	AppsTest		KeyString	AppsTest	Y	String	Input						Delete record	N	?
Licensed	AppsTest		KeyTime	AppsTest	Y	Time	Input						Delete record	N	?
Licensed	AppsTest		ExtInputString	AppsTestCustom	N	String	Input						Delete record	N	?
Licensed	AppsTest		ExtInputStringMissing	AppsTestDep	N	String	Input						Delete record	N	?	LicenseNeverExists
Licensed	AppsTest		InputBoolean	AppsTest	N	Enum	Input	'N'	Bool	System			Delete record	N	?
Licensed	AppsTest		InputDate	AppsTest	N	Date	Input						Delete record	N	?
Licensed	AppsTest		InputDateTime	AppsTest	N	DateTime	Input						Delete record	N	?
Licensed	AppsTest		InputInteger	AppsTest	N	Integer	Input						Delete record	N	?
Licensed	AppsTest		InputMoney	AppsTest	N	Money	Input						Delete record	N	?
Licensed	AppsTest		InputQuantity	AppsTest	N	Quantity	Input						Delete record	N	?
Licensed	AppsTest		InputString	AppsTest	N	String	Input						Delete record	N	?
Licensed	AppsTest		InputTime	AppsTest	N	Time	Input						Delete record	N	?
Licensed	AppsTest		MissingInputBoolean	AppsTest	N	Enum	Input	'N'	Bool	System			Delete record	N	?	LicenseNeverExists
Licensed	AppsTest		MissingInputDate	AppsTest	N	Date	Input						Delete record	N	?	LicenseNeverExists
Licensed	AppsTest		MissingInputDateTime	AppsTest	N	DateTime	Input						Delete record	N	?	LicenseNeverExists
Licensed	AppsTest		MissingInputInteger	AppsTest	N	Integer	Input						Delete record	N	?	LicenseNeverExists
Licensed	AppsTest		MissingInputMoney	AppsTest	N	Money	Input						Delete record	N	?	LicenseNeverExists
Licensed	AppsTest		MissingInputQuantity	AppsTest	N	Quantity	Input						Delete record	N	?	LicenseNeverExists
Licensed	AppsTest		MissingInputString	AppsTest	N	String	Input						Delete record	N	?	LicenseNeverExists
Licensed	AppsTest		MissingInputTime	AppsTest	N	Time	Input						Delete record	N	?	LicenseNeverExists
Licensed_InputNote	AppsTest		Licensed	AppsTest	N	Reference	Input		Licensed	AppsTest	InputNote	AppsTest	Delete record	N	?
Licensed_InputNote	AppsTest		Timestamp	AppsTest	N	DateTime	Input						Delete record	N	?
Licensed_InputNote	AppsTest		UserId	AppsTest	N	String	Input						Delete record	N	?
Licensed_InputNote	AppsTest		Value	AppsTest	N	String	Input						Delete record	N	?
Licensed_MissingInputNote	AppsTest		Licensed	AppsTest	N	Reference	Input		Licensed	AppsTest	MissingInputNote	AppsTest	Delete record	N	?
Licensed_MissingInputNote	AppsTest		Timestamp	AppsTest	N	DateTime	Input						Delete record	N	?
Licensed_MissingInputNote	AppsTest		UserId	AppsTest	N	String	Input						Delete record	N	?
Licensed_MissingInputNote	AppsTest		Value	AppsTest	N	String	Input						Delete record	N	?
LicensedVector	AppsTest		ReferenceToBase	AppsTest	Y	Reference	Input		LicensedVectorBase	AppsTest	Vector	AppsTest	Delete record	N	?	LicenseAppsTest
LicensedVector	AppsTest		VectorKey	AppsTest	Y	Date	Input						Delete record	N	?
LicensedVector	AppsTest		Thing1	AppsTest	N	String	Input						Delete record	N	?
LicensedVector	AppsTest		Thing2	AppsTest	N	String	Input						Delete record	N	?
