Table	Namespace	Type	Keyed	Historical	Vector	Delete Records	Record Creation	in Worksheets	Identification Fields	Present	List
ItemSourcePartSourceHistoricalReceipt	Mfg	Calculated	N	N	N	Y	N	N		Y
KPI	Mfg	Input	Y	N	N	Y	N	Y		Y
LateSupply	Mfg	Calculated	N	N	N	Y	N	N		Y
LoadDailyCurrent	Mfg	Calculated	N	N	N	Y	N	N		Y
LoadDailyPlanned	Mfg	Calculated	N	N	N	Y	N	N		Y
LoadDetailCurrent	Mfg	Calculated	N	N	N	Y	N	N		Y
LoadDetailPlanned	Mfg	Calculated	N	N	N	Y	N	N		Y
LoadFLPPlanned	Mfg	Calculated	N	N	N	Y	N	N		Y
LoadOperationNewOrderPlanned	Mfg	Calculated	N	N	N	Y	N	N		Y
LoadOperationReceiptsCurrent	Mfg	Calculated	N	N	N	Y	N	N		Y
LoadOperationReceiptsPlanned	Mfg	Calculated	N	N	N	Y	N	N		Y
LoadWeeklyCurrent	Mfg	Calculated	N	N	N	Y	N	N		Y
LoadWeeklyPlanned	Mfg	Calculated	N	N	N	Y	N	N		Y
Location	Mfg	Input	Y	N	N	Y	Y	N		Y
LogisticsLocation	Mfg	Input	Y	N	N	Y	N	N		Y
MappedHistoryUsageByPartCustomer	Mfg	Calculated	N	N	N	Y	N	N		Y
MaximumInventoryResult	Mfg	Calculated	N	N	N	Y	N	N		Y
MEIODriverPart	Mfg	Calculated	N	N	N	Y	N	N		Y
MEIOFamilyIterationResult	Mfg	Calculated	N	N	N	Y	N	N		Y
MEIOFamilyResult	Mfg	Calculated	N	N	N	Y	N	N		Y
MEIOHistoricalSupply	Mfg	Calculated	N	N	N	Y	N	N		Y
MEIOLeadTime	Mfg	Input	Y	N	N	Y	N	N		Y
MEIOLeadTimeDistributionProfile	Mfg	Input	Y	N	N	Y	N	Y		Y
MEIOLeadTimeDistributionProfilePoint	Mfg	Input	Y	N	N	Y	N	N		Y
MEIOLeadTimeOutlier	Mfg	Input	Y	N	N	Y	N	N		Y
MEIOLeadTimeOutlier_Notes	Mfg	Input	N	N	N	Y	N	N	MEIOLeadTimeOutlier,UserId,Timestamp	Y
MEIOLeadTimeOutlierResult	Mfg	Calculated	N	N	N	Y	N	N		Y
MEIOLeadTimeOutlierResultSummary	Mfg	Calculated	N	N	N	Y	N	N		Y
MEIOLeadTimeType	Mfg	Input	Y	N	N	Y	N	Y		Y
MEIOParentPart	Mfg	Calculated	N	N	N	Y	N	N		Y
MEIOStage	Mfg	Calculated	N	N	N	Y	N	N		Y
MEIOStageDailyDemandParameterSet	Mfg	Calculated	N	N	N	Y	N	N		Y
MEIOStageHistoricalDemand	Mfg	Calculated	N	N	N	Y	N	N		Y
MEIOStageHistoricalForecast	Mfg	Calculated	N	N	N	Y	N	N		Y
MEIOStageIterationResult	Mfg	Calculated	N	N	N	Y	N	N		Y
MEIOStageLink	Mfg	Calculated	N	N	N	Y	N	N		Y
MEIOStageLinkIterationResult	Mfg	Calculated	N	N	N	Y	N	N		Y
MEIOStageResult	Mfg	Calculated	N	N	N	Y	N	N		Y
MEIOStageSimulation	Mfg	Calculated	N	N	N	Y	N	N		Y
MEIOStageTimePhasedResult	Mfg	Calculated	N	N	N	Y	N	N		Y
MLSActivity	Mfg	Calculated	N	N	N	Y	N	N		Y
Model	Mfg	Input	Y	N	N	Y	Y	Y		Y
MUEPoolNettingType	Mfg	Input	Y	N	N	Y	N	Y		Y
MultiEchelonSafetyStockRule	Mfg	Input	Y	N	N	Y	N	Y		Y
MultiLevelSearchRule	Mfg	Input	Y	N	N	Y	N	Y		Y
NetworkConfiguration	Mfg	Input	Y	N	N	Y	N	N		N	SPOEDevelopment
NewAllocation	Mfg	Calculated	N	N	N	Y	N	N		Y
NewTransferAllocation	Mfg	Calculated	N	N	N	Y	N	N		Y
OnHand	Mfg	Input	N	N	N	Y	N	N	Part,Location,Quantity	Y
OnHandType	Mfg	Input	Y	N	N	Y	N	Y		Y
Operation	Mfg	Input	N	N	N	Y	N	N	Routing,Number,Workcenter	Y
OperationSequence	Mfg	Input	Y	N	N	Y	N	N		Y
OperationSequenceType	Mfg	Input	Y	N	N	Y	N	Y		Y
OperationType	Mfg	Input	Y	N	N	Y	N	Y		Y
OptimizationConfiguration	Mfg	Input	Y	N	N	Y	N	Y		N	SupplyPlanningOptimization
OptimizationConstraintUsed	Mfg	Input	Y	N	N	Y	N	N		N	SupplyPlanningOptimization
OptimizationDynamicSafety	Mfg	Input	Y	N	N	Y	N	N		N	SupplyPlanningOptimization
OptimizationObjectiveWeightOverride	Mfg	Input	Y	N	N	Y	N	Y		N	SPOEDevelopment
OptimizationSummary	Mfg	Input	Y	N	N	Y	N	N		N	SupplyPlanningOptimization
OptimizationSupply	Mfg	Input	Y	N	N	Y	N	N		N	SupplyPlanningOptimization
OptimizationSupplyDemand	Mfg	Input	Y	N	N	Y	N	N		N	SupplyPlanningOptimization
OrderPolicy	Mfg	Input	Y	N	N	Y	N	Y		Y
OrderPriority	Mfg	Input	Y	N	N	Y	N	Y		Y
OutlierType	Mfg	Input	Y	N	N	Y	N	Y		Y
OverrideMajorChangeover	Mfg	Input	Y	N	N	Y	N	N		Y
Part	Mfg	Input	Y	N	N	Y	N	N		Y
Part_MUECumLead	Mfg	Calculated	N	N	N	Y	N	N		Y
Part_MUEPoolValidation	Mfg	Calculated	N	N	N	Y	N	N		Y
PartCustomer	Mfg	Input	Y	N	N	Y	Y	N		Y
PartCustomerHistoryMap	Mfg	Input	Y	N	N	Y	Y	N		Y
PartCustomerTimePhasedAttributes	Mfg	Input	Y	N	N	Y	N	N		Y
PartSequence	Mfg	Input	Y	N	N	Y	N	Y		Y
PartSource	Mfg	Input	Y	N	N	Y	N	N		Y
PartSourceCTPPlannedOrder	Mfg	Calculated	N	N	N	Y	N	N		Y
PartSourcePlannedOrder	Mfg	Calculated	N	N	N	Y	N	N		Y
PartSourceScheduledReceipt	Mfg	Calculated	N	N	N	Y	N	N		Y
PartSourceTimePhasedAttributes	Mfg	Input	Y	N	N	Y	N	N		Y
PartSourceType	Mfg	Input	Y	N	N	Y	N	Y		Y
PartSupplier	Mfg	Input	Y	N	N	Y	N	N		Y
PartType	Mfg	Input	Y	N	N	Y	N	Y		Y
PartUOMConversion	Mfg	Input	Y	N	N	Y	N	N		Y
PeriodConstraintLoad	Mfg	Calculated	N	N	N	Y	N	N		Y
PeriodsOfCoverage	Mfg	Calculated	N	N	N	Y	N	N		Y
PeriodsOfCTPCoverage	Mfg	Calculated	N	N	N	Y	N	N		Y
PlannedAllocation	Mfg	Calculated	N	N	N	Y	N	N		Y
PlannedOrder	Mfg	Calculated	N	N	N	Y	N	N		Y
PlannedTransferAllocation	Mfg	Calculated	N	N	N	Y	N	N		Y
PlannerCode	Mfg	Input	Y	N	N	Y	Y	Y		Y
PlanningCalendars	Mfg	Input	Y	N	N	Y	N	Y		Y
PointsProfile	Mfg	Input	Y	N	N	Y	N	Y		Y
Pool	Mfg	Input	Y	N	N	Y	Y	Y		Y
PoolMap	Mfg	Input	N	N	N	Y	N	N	SupplyPool,DemandPool,PartType	Y
